Headline,text
The system that built a coronavirus vaccine in record time relies on robust intellectual property protections.txt,"South Africa and India have petitioned the World Trade Organization to suspend some intellectual property protections from Covid-19 drugs, vaccines and diagnostic technologies. In support of the effort, Doctors Without Borders began a social media campaign urging governments to “put lives over profits,” warning of “pharma profiteering” and urging support for “#NoCovidMonopolies.” The W.T.O., which governs trade rules among its 164 member nations, considered the proposal at its Council for Trade-Related Aspects of Intellectual Property Rights meeting Thursday. 
"
We can rebuild better Here’s how.txt,"A hallmark of America’s strength and resilience has been our ability to seize opportunity amid our greatest crises. 
"
"As a Black man and a public servant, I see that spectacle is drowning out the voices that need to be heard to make positive change.txt","After the horrendous killing of George Floyd, people in Portland, Ore., joined with thousands across the country in demonstrations to address police reform and widespread systemic racism. The leaders of the Portland Police Bureau denounced this tragic death, and we reiterated our willingness to engage in reforms. 
"
The strike that began in 2050 puts our country at risk..txt,"Editors’ note: This is part of the Op-Eds From the Future series, in which science fiction authors, futurists, philosophers and scientists write Op-Eds that they imagine we might read 5, 10, 50 or even 200 years from now. The challenges they predict are imaginary — for now — but their arguments illuminate the urgent questions of today and prepare us for tomorrow. The Opinion piece below is a work of fiction. 
"
The video of a white woman threatening a black man in Central Park illustrates exactly why I’m so relieved to be spending more time inside.txt,"During a recent session conducted over Zoom, my therapist told me I was “glowing.” In the middle of a pandemic. 
"
"When theaters shuttered, Shakespeare turned to poetry..txt","The theater community is reeling from Thursday’s announcement of a shutdown of Broadway theaters through April 12, a public health measure to protect audiences from possible coronavirus transmission. A blow to the heart — and to a vital economic engine of the city — it’s also a fairly unprecedented move, but for two days following the Sept. 11 attacks. 
"
The crisis is forcing a tech boomtown to hit pause..txt,"SEATTLE — There is a strange in-betweenness to life in the nation’s coronavirus capital. Classes continue on the University of Washington’s campus, some half-empty, others completely full. I have been teaching here 13 years, and faculty members have been getting detailed, palpably anxious instructions from administrators on how to teach online and on hand-washing and social distance, and reminders that no one on our 46,000-student campus has tested positive for the coronavirus that causes Covid-19. For now. 
"
The cure-all debate over the cannabis compound has distracted from the serious — and seriously odd — back story of how cannabidiol conquered the country.txt,"Long before CBD had become a trendy wellness elixir found in juice and moisturizer and ice cream and dog treats; before corporate chains like Walgreens and Sephora had decided to sell it; and way before Kim Kardashian West had thrown a CBD-themed baby shower, a ragtag crew of activists, doctors, writers and marijuana farmers met up on an early winter evening in 2011. They sat in a circle at a house in the hills a few hours north of San Francisco — where wine country becomes weed country — to discuss the therapeutic potential of CBD, and how to get people to take it seriously. 
"
"Only a lopsided show of force would overcome undelivered mail, closed polling sites and Trump’s schemes.txt","When many of us question Hillary Clinton’s performance and strategy in 2016 and say that she should have won, we’re speaking sloppily. 
"
Facebook’s new moves to stop the lies and conspiracy theories seem more random than rigorous.txt,"When Facebook’s founder and chief executive, Mark Zuckerberg, told me two years ago in a podcast interview that Holocaust deniers might not mean to lie, my first instinct was to reply, “That’s completely idiotic.” I managed to stifle myself. 
"
"We’re making progress, but not nearly enough.txt","This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday. 
"
The fate of our democracy is tied to theirs.txt,"HARRISBURG, Pa. — Donald Trump will soon be gone from the White House. But in the millions of homes where Latino immigrants live, the questions that have dominated the past four years will not soon go away: Will I ever see my mother again? Will there be a time where I won’t live with the fear of disappearing on my way to work, never to be seen again by my neighbors? Will I be able to go to college? Will my parents ever escape the nightmare of immigration bureaucracy? 
"
Liberal critics see compromise with the leaders of Hungary and Poland as betraying pro-European forces in those countries.txt,"VIENNA — The philosopher Avishai Margalit was born in 1939, at the onset of World War II, and has lived most of his life in Israel, a country that has always existed between war and peace. That the value of political compromise has always occupied Professor Margalit’s thinking should come as no surprise. He is haunted by how political compromise becomes an act of political maturity and moral responsibility, and under what conditions it becomes morally unacceptable. 
"
Republican efforts to deny Senator Harris’s identity as an African-American and turn her into a noncitizen are destined to fail.txt,"It was probably inevitable that becoming Joe Biden’s running mate would result in controversy over Kamala Harris’s heritage. 
"
"Movies like “1917,” “The Irishman,” and “Ford v Ferrari” have all used their historical settings as a shield to deflect diversity critiques. But the past had people of color and women, too..txt","Anna Paquin only has one line over three and a half hours in “The Irishman.” 
"
The Great Alaska Earthquake of 1964 surprised everyone by showing that natural disasters can bring out more kindness than selfishness..txt,"The earthquake overwhelmed people the way the strongest emotions do. It was pure sensation, coming on faster than the intellect’s ability to register it. 
"
Better to love your country with a broken heart than love it blind.txt,"“The nation-state alone does not have a future,” Angela Merkel, the German chancellor, said this week. It was a direct challenge to President Trump’s “America First,” the slogan whose poison keeps on giving. His United States has become the most unserious of nations. 
"
The coronavirus has changed everything..txt,"“This is an unprecedented moment in American history,” Bernie Sanders said on Sunday night. It certainly produced an unprecedented debate, the singularity of which was captured in a superficially odd but profound bit of business near the start. 
"
"Yes, America is suffering needlessly That may save us.txt","Just one in six Americans in a poll last month was “proud” of the state of the country, and about two out of three were actually “fearful” about it. So let me introduce a new thought: “hope.” 
"
I almost always side with protecting houses of worship But there are limits.txt,"Gov. Andrew Cuomo has imposed new restrictions on businesses, mass gatherings and places of worship in towns and New York City neighborhoods with high rates of coronavirus infections — some of which also have large populations of Orthodox and Hasidic Jews. An Orthodox advocacy group, Agudath Israel of America, has filed a federal lawsuit against the new regulations on the grounds that they violate the right to free exercise of religion. 
"
There’s a way to bring in big tech without compromising our privacy.txt,"SEATTLE — One in four U.S. households have a smart speaker and 81 percent of adults own a smartphone. These devices might seem to be unlikely medical instruments, yet their computing capability, storage and sensor quality is often superior to the clinical-grade equipment used to monitor patients in an intensive care unit. 
"
He will have the power to make sweeping reforms on Day 1.txt,"This article is part of the Debatable newsletter. You can sign up here to receive it on Tuesdays and Thursdays. 
"
"World War I was a disaster, but Sam Mendes’s Oscar-nominated epic paints a dangerously misleading picture of the conflict..txt","I was looking forward to seeing Sam Mendes’s film “1917” when it arrived in theaters in December. I have a special interest in the subject — my grandfather fought in World War I, and I’ve done years of research on the events while writing a play about the war. 
"
Fielding the many invasive questions of my online tax prep service.txt,"Lindsay, welcome back to your 15th year with our online tax prep service! We have just a few simple questions to help you get started. 
"
"In coronavirus quarantine, the music coming through the thin walls is keeping me sane.txt","I don’t know most of the neighbors in my four-story apartment building, but I can hear them. Often, these sounds are annoying: doors slamming, the incessant beep from a neglected fire alarm battery, a family quarrel in the hallway, overhead thuds that wake me up at night. 
"
"I’ve seen a new layer of anxiety, and heroism, during my lonely treatment visits.txt","There is a checkpoint as you enter the Kimmel Cancer Center at Johns Hopkins Hospital in Baltimore, where I am being treated for cancer of the prostate and lymph nodes. With all but two sets of doors to the building locked shut, patients are corralled into an area roped off from the rest of the first-floor lobby. You are required to show your orange Hopkins patient identification card and proof that you have an appointment. 
"
"In a rare move, a group of lawmakers voted to give up their own redistricting power..txt","Politicians rarely give up power voluntarily. They never give it up when they have free rein to lock it in for at least a decade, and exact long-overdue revenge against their political opponents. 
"
"It’s fun to make jokes about “person, woman, man, camera, TV” But the party should not be distracted from what’s really at stake.txt","Over the last week, the hottest issue in national politics has been President Trump’s ability to repeat five words in order — people, woman, man, camera, TV — a performance on a dementia test that Mr. Trump has called “amazing.” 
"
Young people have a deep desire for radical change because we see the broken path ahead..txt,"PLANO, Texas — A month ago, I was sitting in a coffee shop with a friend, talking about how crazy it was to want to be a writer. At that point, the coronavirus had yet to factor into our summer plans or pop up in the predictive text on our smartphones. That day, our biggest concern was whether my friend should settle for a summer internship in a financially stable industry or take a chance on journalism. 
"
The country’s model of social inclusion by way of law kicked in.txt,"AMHERST, Mass — On May 26, Costa Rica legalized same-sex marriage. At a time when so many democracies are experiencing conservative backlashes, Costa Rica’s achievement seems exceptional. 
"
Even though significant compromises will be required in Congress and not every progressive idea will be embraced.txt,"Here we are, just four weeks past Election Day, and renewed skirmishing has already broken out within the Democratic Party. Having mostly rallied behind Joe Biden after the primaries, progressives now want their policies and their people embedded in the new administration. 
"
"If we don’t get the virus under control, the devastation will get worse.txt","“Humankind cannot bear very much reality.” 
"
What can we learn.txt,"This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday. 
"
The state’s lieutenant governor has been tweeting since election night Mostly he’s trying to get the president to understand simple arithmetic.txt,"In the postelection uncertainty, all eyes were on Pennsylvania. And John Fetterman, the state’s Twitter-famous lieutenant governor, held court. He rallied Democrats with one-liners and taunted President Trump with arithmetic lessons on Twitter. Mr. Trump can try to challenge the election result, he said, but “you can’t litigate math.” 
"
"Syria became a graveyard, where an aspirational vision of who we are and what we will tolerate now lies. We won’t be immune to the consequences of our failures..txt","When my father died last April in Baltimore, he had finally given up the desire to be buried next to his parents in a cemetery in Damascus, Syria. That he had time to ponder where to be buried was the burden of knowing for several years that he was dying. It was also the luxury, especially for a Syrian, of still having some choice in the matter. 
"
How to feel better about this horrible year.txt," 
"
"The upheavals of our current era did not begin with Donald Trump, nor will they end now that he has been defeated.txt","I came down the stairs, hungover and shattered. I sang a song by The Doors. “This is the end, beautiful friend, the end.” 
"
"There’s a potentially catastrophic decision coming If you’ve struggled to focus on it, I don’t blame you.txt","Remember early March — that week or so before we fully grasped how much our lives were about to change? I was in Washington, D.C., to attend what turned out to be one of the last in-person oral arguments at the Supreme Court for the foreseeable future — the big abortion case out of Louisiana. 
"
"The fallen executive committed a cardinal, culturally unacceptable sin: hubris..txt","Carlos Ghosn, the French-Lebanese-Brazilian former C.E.O. of the Nissan and Renault motor companies, spent millions of dollars to avoid being tried in Japan for financial malfeasance. He jumped bail by paying a crack team of security experts to smuggle him out of the country in a private jet. 
"
"Proper ventilation, filtration and humidity reduce the spread of pathogens like the new coronavirus..txt","[This article is part of the developing coronavirus coverage, and may be outdated. Go here for the latest on the coronavirus.] 
"
"A measure of social progress finds that the quality of life has dropped in America over the last decade, even as it has risen almost everywhere else.txt","This should be a wake-up call: New data suggest that the United States is one of just a few countries worldwide that is slipping backward. 
"
The Supreme Court’s unanimous decision in the “faithless electors” case is another reminder of how antiquated and undemocratic the Electoral College is.txt,"The Supreme Court clearly got it right on Monday when it ruled that the Electoral College can keep working the way it has worked for the last 200 years. 
"
A luthier under lockdown finds resilience in the history of his craft.txt,"Julia Rothman is an illustrator. Jacob Curtz is a luthier. 
"
What playing doubles with a Parisian urologist taught me about how to get my life in order.txt,"PARIS — While many Americans were cooped up at home or learning to love camping, in France (and many other places in Europe) we had an almost normal summer. 
"
Will Mitch ditch the Donald.txt,"WASHINGTON — At long last, a top Republican is distancing himself from Donald Trump. 
"
The big lesson of 2020 is that everything keeps getting more dishonest.txt,"Lately, I have been putting an embarrassing amount of thought into notions like jinxes and knocking on wood. The polls for Joe Biden look good, but in 2020, any hint of optimism feels dangerously naïve, and my brain has been working overtime in search of potential doom. 
"
"History is repeating itself as pools, beaches and clubs open — but mostly for the privileged few.txt","Like other crises in the past, the coronavirus pandemic has provided an opportunity for communities to act on their most exclusionary impulses. This summer, private pools and beach clubs, as well as public facilities in wealthier areas, are reopening with new measures to ensure that the general public stays out: hiring more security, aggressively checking beach tags and restricting access to residents only. 
"
Family members play an important role in the care we provide I miss them.txt,"One morning in early March, during what would be our last week of normalcy, my team gathered outside our patient’s room on morning rounds. The beleaguered overnight intern began to present the details of the case. Then stopped. We needed to wait. The patient’s wife was on the way — and we couldn’t start without her. 
"
The Democratic nomination could be wrapped up next month. That is too soon to select any candidate..txt,"The Democratic Party has created a dramatically front-loaded primary schedule this year, with the intention of wrapping up the nomination quickly. Party leaders had hoped that a shortened campaign would produce a nominee with plenty of time and resources to mount a strong challenge against Donald Trump. Those Democrats tired of long campaigns were pleased. 
"
The Trump administration is flouting the law to turn away minors in desperate need of protection.txt,"The Supreme Court decision last week protecting the DACA program was reason for celebration, but the Trump administration’s assault on immigration isn’t over. President Trump has already said he plans to keep pushing to end DACA. But more immediately, under the guise of the pandemic, the Trump administration is turning back unaccompanied children at the border in violation of federal law. 
"
A consensus is building around the simple expedient of sending cash to every American. Politicians need to move quickly..txt,"The United States has never experienced anything quite like the economic disjuncture caused by the spread of the new coronavirus. Airports and malls are empty. Restaurants and movie theaters are closed. The collapse is happening so fast it isn’t visible yet in standard data like the unemployment rate, but startling facts are piling up. 
"
Prison officials did everything they could to prevent a coronavirus outbreak Everything except release prisoners.txt,"GRAFTON, Ohio — A few of us were talking at Roc and Dave’s bunk about writing a petition about keeping inmates safe during the pandemic. Suggestions of what to include were trickling in throughout the long, dragging day — through in-depth conversations or notes passed under the cell door. 
"
"In our dystopian times, it’s too easy to fall into despair. But some day I will live on a donkey sanctuary with Michael B. Jordan..txt","I had a real spring in my step after leaving Chase Bank in December. I didn’t just leave the branch, I left the bank — properly and forever: Closed my account, took my money back, peaced right out of there. I felt like doing that Fred Astaire move where he jumps up and clicks his heels, but I didn’t. I’m kind of a nervous person and there were teenagers close by. I was giddy because I’d finally fulfilled a promise to myself, that I would leave Chase and stop helping them destroy the planet. 
"
Many Americans’ feeds are nightmares I know because I spent weeks living inside two of them.txt,"In mid-October I asked two people I’d never met to give me their Facebook account passwords for three weeks leading up to and after Election Day. I wanted to immerse myself in the feeds of a type of person who has become a trope of sorts in our national discussion about politics and disinformation: baby boomers with an attachment to polarizing social media. 
"
The Supremes smack down a prehistoric president.txt,"There are leaders who are ahead of their times, leaders who are behind their times, and then there’s Donald Trump, who comes from another time altogether. He’s stuck somewhere closer to the Stone Age than to Stonewall. And the Supreme Court just told him so. 
"
Beating Bernie Sanders is not the same thing as beating Donald Trump..txt,"This article is part of the Debatable newsletter. You can sign up here to receive it Tuesdays and Thursdays. 
"
"Millions of health care workers are running to where they are needed, sometimes risking their lives..txt","“I’m having flashbacks to the Boston Marathon bombing,” my daughter said. 
"
They help keep people’s lives from being ruined by exorbitant bail Efforts to thwart these funds are the true public safety threats.txt,"At least 10,000 protesters and ordinary people have been freed from jail and immigrant detention facilities after months of uprisings in which millions of dollars have been donated to nearly 80 community bail funds nationwide. But the backlash has begun. 
"
And what to do about it.txt,"This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday. 
"
A quarantine is the perfect time to get (virtually) close to your community..txt,"A pandemic is frightening, and isolating. It is psychically frustrating: We need other people now more than ever. At the same time, other people have never been more dangerous to our health. The choice to go outside, even to help others, means assuming risk — for yourself, loved ones and strangers. It’s easy to feel powerless and alone. 
"
The Tesla chief executive is putting the safety of employees on the line.txt,"Elon Musk, the chief executive of the carmaker Tesla, is something different to everyone. For having mass-produced cool all-electric vehicles, he has been a hero to coastal environmentalist liberals. Small-government conservatives have lionized him for thumbing his nose at regulators. He has been likened to the superhero Iron Man, and sci-fi aficionados love the billionaire for his dreams of colonizing Mars.Online, his exhortations can cause markets to shudder or soar and prompt lawsuits and investigations. His cryptic tweet over the weekend to “Take the red pill” aroused speculation he was signaling a rightward turn — Ivanka Trump seemed to agree — or that he is simply a fan of “The Matrix.” 
"
"Testing is how we let people start returning safely to work, to school, to stores.txt","Gov. Andrew Cuomo of New York offered a blunt and troubling summary of America’s coronavirus predicament on Friday. To revive the economy, he said, “You have to develop a testing capacity that does not now exist.” 
"
"Senators, I’m looking at you.txt","Less than three weeks until the election and I know you’re obsessed about those Senate races. 
"
"A new generation of activists in Thailand is moving away from coded criticism of the military and the monarchy, and publicly calling for wholesale democratic reform.txt","BANGKOK — One student’s sign at the protest read, “No god, no kings, only man.” Another’s said, “You have awakened a sleeping giant.” 
"
"To listen to this New York Times Opinion podcast for free, follow these instructions.txt","A podcast about power, hosted by Kara Swisher (@karaswisher). New episodes every Monday and Thursday. 
"
The star of this short documentary calls himself ‘Catman’.txt,"In the Op-Doc above, we enter the world of an older man living by himself in a small city in Switzerland. Only he’s not alone — he has his two Scottish Fold cats, Marmelade and Katyusha. The cats accompany him everywhere: to the bar, to the grocery store, to the ski slopes. As we watch their relationship unfold, the trio builds a world that’s exclusively and intimately theirs alone — a reminder that families are whatever we make them out to be. All that defines them is love. 
"
He has nothing but contempt for the institutions that exist to keep presidents in check.txt,"The lies and obfuscations pile up. No, it wasn’t tear gas used to clear Lafayette Park for President Trump’s Bible-waving photo-op last Monday night, Attorney General William Barr said on CBS’s “Face the Nation” on Sunday. Rather it was “pepper balls,” he said. “Pepper spray is not a chemical irritant. It’s not chemical.” Wrong, according to The Washington Post; pepper balls are very much a chemical irritant. The paper awarded the nation’s top law enforcement officer four Pinocchios for his claim. 
"
Republican legislators abdicated their duty by refusing to seek the truth..txt,"Alas, no one ever lost money betting on the cynicism of today’s congressional Republicans. On Friday evening, Republican senators voted in near lock step to block testimony from any new witnesses or the production of any new documents, a vote that was tantamount to an acquittal of the impeachment charges against President Trump. The move can only embolden the president to cheat in the 2020 election. 
"
Fifteen things we need to know about the coronavirus.txt,"Doctors caring for patients track vital signs of temperature, blood pressure, breathing and pulse. Public health doctors fighting epidemics do something similar — they track the most important indicators of the spread of a disease and attempts to control it. 
"
"In his convention speech, the former president sought to renew faith in the democratic project.txt","On Wednesday, Aug. 19, 2020, standing in front of an exhibition about the Constitution in Philadelphia, Barack Obama fully became an American Jeremiah. 
"
The Libyan revolution of 2011 brought lasting terrorist mayhem across a broad reach of Africa’s former French colonies. Now France needs its allies to help pacify the region — if that can be done..txt,"PARIS — This is a war that escapes most radar screens. The French, whose troops have been fighting in the Sahel for seven years, ask few questions about their involvement. They should. In this crucible where Islamist insurgency, ancient local conflicts, fragile states, European hesitations and a shifting American strategy make an explosive mix, it is a war they may well be losing — or, in the best case, a war they may never win. 
"
Virtual sessions offer the intimacy — and comedy — of seeing patients and therapists in their personal environments.txt,"Every day since the onset of the coronavirus outbreak, friends and family have been checking in on me — and not just in the general way that we all seem to be checking in on the people we love. They worry that the kind of work I do might make me sick — emotionally, that is. 
"
"A mother and daughter write through distance and disease, searching for the other’s love.txt","CHICAGO — My mother believes that God and the Chinese Communist Party will defeat the novel coronavirus. 
"
Why does Canada allow this company to profit off videos of exploitation and assault.txt,"This article contains descriptions of sexual assault. 
"
He is driving the country to financial ruin. And his own party is letting it happen..txt,"People have a tragic flaw: Sometimes we want others to do the thinking for us. And across the ages promoters and con men have been more than willing to oblige. They invite us to indulge in the fantasy that a newfound father figure will fix it all, though it never works out that way. 
"
I still don’t know what I need to about the coronavirus.txt,"After a lot of years, you tend to know a guy. And as it turned out, I know a guy who had antibody blood tests for the novel coronavirus. 
"
"In the past, Latinos have reliably voted Democratic in the Rio Grande Valley and Miami-Dade County So what happened this year.txt","As ballots were counted on Election Day, many people were quick to observe that Latinos went for President Trump in 2020. 
"
We’re so used to thinking of snotty-nosed kids as germ propagators But that’s just not how Covid-19 works.txt,"As a pediatrician, I love treating children, but I am well aware that the urgent care clinic where I work is not germ-free. Inevitably, I catch the occasional bug from a kid with a runny nose and a cough. 
"
A lot of families are going to need restructuring by the time this is over They probably needed it before.txt,"One of the few good things about a deadly pandemic is that if you are a person who enjoys talking on the phone, as I am, you will now have lots of time to do this, far more time than you did during regular life. 
"
The competition among his cabineteers is fierce.txt,"OK, people, I know you’re feeling a little wan and helpless these days. Sure does seem like a long time until November. 
"
The president’s magic social media wand will soon be powerless.txt,"It’s going to disappear. One day, like a miracle, it will disappear. 
"
Readers share their thoughts on the final presidential debate.txt,"Did Thursday’s debate — the final for this election — change anyone’s mind about who should lead the country? Opinion’s political writers have shared their thoughts and we’ve asked readers to do the same. On the whole, they found the evening’s proceedings far more palatable than the first matchup between President Trump and Joe Biden: 
"
We need to wake up Artists can sound the alarm.txt,"This essay is part of The Big Ideas, a special section of The Times’s philosophy series, The Stone, in which more than a dozen artists, writers and thinkers answer the question, “Why does art matter?” The entire series can be found here. 
"
The balance between Covid-19 precautions and civil liberties doesn’t need to be a partisan issue.txt,"The Supreme Court last week made a major move toward constitutional normalcy: It blocked enforcement of Gov. Andrew Cuomo’s hyper-restrictive rules for in-person religious services in New York until the government provides logical justification for treating worship more harshly than seemingly comparable (or riskier) activities. 
"
Venezuela’s leader will use the charges against him to bolster support..txt,"MEXICO CITY — On Thursday, in the midst of the world’s most serious health and economic crisis since perhaps the Great Depression, the Trump administration charged President Nicolás Maduro of Venezuela with narco-terrorism, drug trafficking and money laundering. The State Department offered a $15 million reward for information leading to the arrest of Mr. Maduro and also indicted other senior officials, including the country’s defense minister, Vladimir Padrino López, who is charged with conspiracy to smuggle narcotics. 
"
There is no reason for the outgoing attorney general to appoint his preferred prosecutor for the continuing Trump-Russia inquiry.txt,"Attorney General William Barr’s decision on Tuesday to name John Durham, the U.S. attorney for Connecticut appointed by President Trump, as special counsel to investigate matters surrounding the 2016 election violates the rules for special counsels as well as fundamental democratic principles. 
"
It’s possible that no Democrat will come out of the primaries with a majority of delegates..txt,"This article is part of the Debatable newsletter. You can sign up here to receive it Tuesdays and Thursdays. 
"
Trump turned the first into a circus of sound and fury Do we really need two more.txt,"This article is part of the Debatable newsletter. You can sign up here to receive it on Tuesdays and Thursdays. 
"
“Warm up your own food!” Some things Pakistani women say make Pakistani men really angry..txt,"KARACHI, Pakistan — Last week, outside a shopping mall in the city, two somber men stood holding a banner that read: “Men are guardians of women.” In other parts of Pakistan, other self-appointed guardians have been busy tearing down posters that women activists put up to announce Aurat March, a series of rallies across the country to celebrate International Women’s Day on March 8. 
"
NeverTrumpers could see that his personal pathologies would lead to his disastrous management in a crisis..txt,"In the blink of an eye, the essential nature of the American presidency seems to have changed. Only days ago most Republicans were cheering along to the president’s less than statesmanlike routine and happy to let him act as the chief culture warrior and judicial nominator in chief. But suddenly, the specter of Covid-19 has made owning the libs seem slightly less important and shined a bright light on the centrality of character to presidential leadership. 
"
"At 56, I now understand how brief his time on earth was. His centennial is a strange comfort..txt","My father turned 100 last week. Not in a nursing home or at an awkward family gathering with 1-0-0 candles on a cake. Not in his physical form at all — he died in 1976. But I marked his centennial because, to the few people left on earth who still grieve for him after nearly 44 years, it had to matter for just one day, as just a fleeting number in this life of constant additions and subtractions. 
"
